Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
under-documented,under documented
API,a pi
barcode,bar code
data rest,that arrest
pull request,poor request
track scans,tracks cans
track scan,tracks can
REST API,rest pi
Rescache,red cast
Rescache,rez cash
autowired,otto wired
username,use her name
WMSC,dub corps
WMSC,dub cores
WMSC,dob cores
WMSC,dub court
localhost,local host
HTTP,had tip
HTTP,hat tip
json,ja on
json,ja saw
json,jason on
LipSurf,lips surf
LipSurf,lip serf
LipSurf,lip serve
Wanikani,Juan connie
Wanikani,one connie
Spring Data REST,spring data arrest
AMQP,am cue
AMQP,am pu
AMQP,am cup
AMQP,a cup
RabbitMQ,rabbit em cu
JUnit,ja unit
whallocator,warehouse allocator
endpoints,end points
endpoints,and points
endpoint,end point
endpoint,and point
barcodes,bar codes
username,user her name
username,use her name
username,user your name
username,use your name
username,user name
audit,audit it
Secaucus,sea caucus
putaway,put away
assert equals,assert equal
todo,to do
